LEMMA,DEFINITION,EXAMPLE,POS
back,in repayment or retaliation,I was kept in after school for talking back to the teacher,r
boxed,enclosed in or as if in a box,a confining boxed-in space,s
accommodational,of or relating to the accommodation of the lens of the eye,accommodational strain,a
tortuous,highly complex or intricate and occasionally devious,tortuous legal procedures,s
consumptive,tending to consume or use often wastefully,water suitable for beneficial consumptive uses,a
amuck,frenzied as if possessed by a demon,the soldier was completely amuck,s
bared,having the head uncovered,with bared head,s
adventuresome,willing to undertake or seeking out new and daring enterprises,the risks and gains of an adventuresome economy,a
newfangled,(of a new kind or fashion) gratuitously new,newfangled ideas,s
color,any material used for its color,she used a different color for the trim,n
sale,a particular instance of selling,they had to complete the sale before the banks closed,n
careful,exercising caution or showing care or attention,be careful to keep her shoes clean,a
vernal,of or characteristic of or occurring in spring,the vernal equinox,a
lovesick,languishing because of love,strong men behaving like lovesick boys,s
manageably,so as to be manageable,this house is manageably small,r
important,of great significance or value,the important questions of the day,a
backward,in a manner or order or direction the reverse of normal,the child put her jersey on backward,r
post,the delivery and collection of letters and packages,it came by the first post,n
then,in that case or as a consequence,"if he didn't take it, then who did?",r
ethicism,a doctrine that ethics and ethical ideas are valid and important,his ethicism often led him to moralize,n
aimlessly,without aim; in an aimless manner,he wandered around aimlessly,r
sentence,the period of time a prisoner is imprisoned,his sentence was 5 to 10 years,n
seafaring,used on the high seas,seafaring vessels,s
irritating,"causing physical discomfort; they can be very painful""",bites of black flies are more than irritating,s
pungent,strong and sharp,the pungent taste of radishes,s
damaged,being unjustly brought into disrepute,her damaged reputation,s
good,having or showing knowledge and skill and aptitude,a good mechanic,s
prehistoric,no longer fashionable,my mother has these prehistoric ideas about proper clothes,s
melt,become less intense and fade away gradually,her resistance melted under his charm,v
back,the posterior part of a human (or animal) body from the neck to the end of the spine,his back was nicely tanned,n
play,(game) the activity of doing something in an agreed succession,it is still my play,n
arguably,as can be shown by argument,she is arguably the best,r
least,something that is of no importance,that is the least of my concerns,n
envelope,a natural covering (as by a fluid),the spacecraft detected an envelope of gas around the comet,n
trompe-l'oeil,creating the illusion of seeing reality,the visual deception of trompe-l'oeil art,s
unctuous,unpleasantly and excessively suave or ingratiating in manner or speech,the unctuous Uriah Heep,s
stouthearted,used especially of persons,a stouthearted fellow who had an active career in the army,s
hierarchy,a series of ordered groupings of people or things within a system,put honesty first in her hierarchy of values,n
snap,the act of catching an object with the hands,the infielder's snap and throw was a single motion,n
packing,carrying something in a pack on the back,the backpacking of oxygen is essential for astronauts,n
less,used to form the comparative of some adjectives and adverbs,less quickly,r
guttural,like the sounds of frogs and crows,acres of guttural frogs,s
submissive,inclined or willing to submit to orders or wishes of others or showing such inclination,a submissive reply,a
home,a social unit living together,the teacher asked how many people made up his home,n
open-minded,ready to entertain new ideas,open-minded impartiality,s
theme,a unifying idea that is a recurrent element in literary or artistic work,it was the usual `boy gets girl' theme,n
aggressive,"having or showing determination and energetic pursuit of your ends; positive in his convictions""",an aggressive basketball player,a
open,accessible to all,open season,s
wholesale,ignoring distinctions,wholesale destruction,s
distinct,clearly or sharply defined to the mind,Claudius was the first to invade Britain with distinct...intentions of conquest,s
designed,done or made or performed with purpose and intent,well-designed houses,a
whacking,(British informal) enormous,a whacking phone bill,s
admirable,deserving of the highest esteem or admiration,"his taste was impeccable, his health admirable",s
republican,having the supreme power lying in the body of citizens entitled to vote for officers and representatives responsible to them or characteristic of such government,"our republican and artistic simplicity""-Nathaniel Hawthorne",s
disagreeably,in a disagreeable manner,"`I took no harm from the journey, thank you,' she said disagreeably",r
uneasy,lacking a sense of security or affording no ease or reassurance,farmers were uneasy until rain finally came,a
able,having inherent physical or mental ability or capacity,able to learn,s
inhibition,(physiology) the process whereby nerves can retard or prevent the functioning of an organ or part,the inhibition of the heart by the vagus nerve,n
exuberant,"unrestrained, especially with regard to feelings",exuberant compliments,s
involuntary,not subject to the control of the will,involuntary manslaughter,a
thumping,(used informally) very large,a thumping loss,s
collectedly,in a self-collected or self-possessed manner,he announced the death of his father collectedly,r
lead,a position of leadership (especially in the phrase `take the lead'),he takes the lead in any group,n
psychologically,with regard to psychology,the event was very damaging to the child psychologically,r
elementary,easy and not involved or complicated,an elementary problem in statistics,s
combination,a sequence of numbers or letters that opens a combination lock,he forgot the combination to the safe,n
suspense,an uncertain cognitive state,the matter remained in suspense for several years,n
chance,a risk involving danger,you take a chance when you let her drive,n
revocation,the act (by someone having the authority) of annulling something previously done,the revocation of a law,n
editorial,relating to or characteristic of an editor,editorial duties,a
disrepute,the state of being held in low esteem,because of the scandal the school has fallen into disrepute,n
positive,impossible to deny or disprove,proof positive,s
stark,providing no shelter or sustenance,a stark landscape,s
double,to double the degree,his eyes were double bright,r
unlucky,having or bringing misfortune,Friday the 13th is an unlucky date,a
pit-a-pat,as of footsteps,he came running pit-a-pat down the hall,r
night,the time between sunset and midnight,he watched television every night,n
brimming,filled to capacity,eyes brimming with tears,s
bad,that which is below standard or expectations as of ethics or decency,take the bad with the good,n
unfortunate,not favored by fortune; marked or accompanied by or resulting in ill fortune,an unfortunate decision,a
show,pretending that something is the case in order to make a good impression,that ceremony is just for show,n
live,abounding with life and energy,the club members are a really live bunch,s
status,the relative position or standing of things or especially persons in a society,he had the status of a minor,n
optimistic,expecting the best in this best of all possible worlds,in an optimistic mood,a
severely,to a severe or serious degree,a severely impaired heart,r
damage,the amount of money needed to purchase something,how much is the damage?,n
meteorologic,"of or pertaining to atmospheric phenomena, especially weather and weather conditions",meteoric (or meteorological) phenomena,a
quiet,in a softened tone,a quiet reprimand,s
down,in an inactive or inoperative state,the computer went down again,r
undeclared,not announced or openly acknowledged,fighting an undeclared war,a
life,the period during which something is functional (as between birth and death),the battery had a short life,n
indeterminate,not precisely determined or established; not fixed or known in advance,an indeterminate point of law,a
leaker,a surreptitious informant,the president wanted to know who the leakers were,n
award,a tangible symbol signifying approval or distinction,an award for bravery,n
irrational,not consistent with or using reason,irrational animals,a
diversity,noticeable heterogeneity,a diversity of possibilities,n
twist,turning or twisting around (in place),with a quick twist of his head he surveyed the room,n
shortly,in a concise manner; in a few words,to put it shortly,r
nakedly,in an exposed manner; without protection or defense,they were attacked as they huddled nakedly on the bare hill,r
requisite,anything indispensable,a place where the requisites of water fuel and fodder can be obtained,n
dubious,open to doubt or suspicion,he has a dubious record indeed,s
criminally,in violation of the law; in a criminal manner,the alterations in the document were ruled to be criminally fraudulent,r
house,a dwelling that serves as living quarters for one or more families,he has a house on Cape Cod,n
crash,sleep in a convenient place,"You can crash here, though it's not very comfortable",v
unwoven,not woven,tapa cloth is an unwoven fabric made by pounding bark into a thin sheet,a
decisive,determining or having the power to determine an outcome,cast the decisive vote,a
assigned,appointed to a post or duty,assigned personnel,a
help,improve; change for the better,New slipcovers will help the old living room furniture,v
relief,the condition of being comfortable or relieved (especially after being relieved of distress),he enjoyed his relief from responsibility,n
springy,(of movements) light and confidently active,he walked away with a springy step,s
badly,unfavorably or with disapproval,thought badly of him for his lack of concern,r
venturous,disposed to venture or take risks,a venturous spirit,s
treat,provide treatment for,The doctor treated my broken leg,v
elongate,having notably more length than width; being long and slender,an elongate tail tapering to a point,s
inexhaustible,incapable of being entirely consumed or used up,an inexhaustible supply of coal,a
text,a book prepared for use in schools or colleges,the professor wrote the text that he assigned students to buy,n
useless,having no beneficial use or incapable of functioning usefully,a kitchen full of useless gadgets,a
warm,in a warm manner,warmly dressed,r
dramatically,with respect to dramatic value,"the play was dramatically interesting, but the direction was bad",r
region,a part of an animal that has a special function or is supplied by a given artery or nerve,in the abdominal region,n
DNA,(biochemistry) a long linear polymer found in the nucleus of a cell and formed from nucleotides and shaped like a double helix; associated with the transmission of genetic information,DNA is the king of molecules,n
mournfully,in a mournful manner,the young man stared into his glass mournfully,r
fascist,relating to or characteristic of fascism,fascist propaganda,a
directly,without anyone or anything intervening,measured the physical properties directly,r
straining,taxing to the utmost; testing powers of endurance,"his final, straining burst of speed",s
stocktake,an instance of stocktaking,the auditor did not attend the stocktake or check the valuations,n
underneath,on the lower or downward side; on the underside of,a chest of drawers all scratched underneath,r
sooth,truth or reality,in sooth,n
rough,with roughness or violence (`rough' is an informal variant for `roughly'),he was pushed roughly aside,r
emulsion,(chemistry) a colloid in which both phases are liquids,an oil-in-water emulsion,n
away,indicating continuing action; continuously or steadily,he worked away at the project for more than a year,r
established,shown to be valid beyond a reasonable doubt,the established facts in the case,s
pleasure,sexual gratification,he took his pleasure of her,n
unveiling,putting on display for the first time,he attended the unveiling of the statue,n
hall,a large room for gatherings or entertainment,pool hall,n
box,any one of several designated areas on a ball field where the batter or catcher or coaches are positioned,the umpire warned the batter to stay in the batter's box,n
some,relatively much but unspecified in amount or extent,he was still some distance away,s
ceremonially,in a ceremonial manner,he was ceremonially sworn in as President,r
unrevised,not improved or brought up to date,the book is still unrevised,s
upright,of moral excellence,an upright and respectable man,s
uxoriously,in a loving and uxorious manner,he kept deferring uxoriously to Mary,r
froth,exude or expel foam,the angry man was frothing at the mouth,v
uninitiated,not initiated; deficient in relevant experience,it seemed a bizarre ceremony to uninitiated western eyes,s
beam-ends,(nautical) at the ends of the transverse deck beams of a vessel,"on her beam-ends"" means heeled over on the side so that the deck is almost vertical",n
aquatic,relating to or consisting of or being in water,an aquatic environment,a
optimistic,expecting the best in this best of all possible worlds,optimistic plans,a
