WORD,EXAMPLE,SOURCE
angular, the angular shape of the building stood out among the surrounding structures,gpt-simple
angular," she had a sharp, angular face, with prominent cheekbones and a pointed chin",gpt-simple
angular," the dancer's movements were fluid and graceful, but also had an angular quality to them",gpt-simple
angular," the artist used bold, angular brushstrokes to create a sense of tension in the painting",gpt-simple
angular, the car's sleek design featured angular lines and a low profile,gpt-simple
date, i have a date with my boyfriend tonight,gpt-simple
date, she asked him out on a date to the movies,gpt-simple
date, the expiration date on the milk carton is tomorrow,gpt-simple
date, they couldn't agree on a date for the meeting,gpt-simple
date, he asked her what her birth date was,gpt-simple
happen, i wonder what will happen if it rains tomorrow,gpt-simple
happen, did you hear about what happened at the concert last night?,gpt-simple
happen, it was a fortunate coincidence that we happened to be in the same place at the same time,gpt-simple
happen," sometimes, unexpected opportunities happen when you least expect them",gpt-simple
happen," i'm sorry, but i can't make it to the meeting as something urgent has happened",gpt-simple
lunch, i packed a healthy lunch for work today,gpt-simple
lunch, let's meet for lunch at the new restaurant downtown,gpt-simple
lunch, we have a lunch break at 12:00 every day,gpt-simple
lunch," i'm running late, so i'll grab a quick lunch at the café",gpt-simple
lunch, my favorite part of the day is enjoying a leisurely lunch with friends,gpt-simple
acquire, she hopes to acquire a new skill by taking a dance class,gpt-simple
acquire, the company plans to acquire a smaller competitor to expand its market share,gpt-simple
acquire, he was able to acquire tickets to the sold-out concert,gpt-simple
acquire, the museum recently acquired a rare painting by a famous artist,gpt-simple
acquire," through hard work and dedication, she was able to acquire a vast amount of knowledge in her field",gpt-simple
prayer," she knelt down and closed her eyes, deep in prayer",gpt-simple
prayer, the congregation joined together in a collective prayer for peace,gpt-simple
prayer, he offered a prayer of gratitude before every meal,gpt-simple
prayer, the priest recited a solemn prayer at the funeral service,gpt-simple
prayer," she whispered a silent prayer, hoping for guidance in her difficult decision",gpt-simple
attract, the colorful advertisements are designed to attract customers to the new store,gpt-simple
attract, the strong magnetic force of the fridge door attracts the metal paper clips,gpt-simple
attract, the charismatic speaker was able to attract a large audience to the conference,gpt-simple
attract, the sweet aroma of freshly baked cookies attracted the children to the kitchen,gpt-simple
attract, the beautiful artwork displayed in the gallery attracted the attention of art enthusiasts,gpt-simple
city, the city of new york is known for its bustling streets and iconic landmarks,gpt-simple
city, my aunt lives in a small coastal city in maine,gpt-simple
city, the city council has approved the construction of a new park downtown,gpt-simple
city," after living in the countryside for years, i decided to move to the city for a change of pace",gpt-simple
city, the city was abuzz with excitement as the local team won the championship,gpt-simple
misty," the misty morning enveloped the landscape in a soft, hazy blanket",gpt-simple
misty," she gazed out at the misty horizon, lost in thought",gpt-simple
misty, the misty rain made the streets slick and dangerous to drive on,gpt-simple
misty, the misty memories of their childhood flooded back as they walked through the old neighborhood,gpt-simple
misty, the misty atmosphere of the haunted house added to the eerie feeling,gpt-simple
horn," the majestic elk stood atop the mountain, its large antlers forming an impressive set of horns",gpt-simple
horn," the orchestra's performance was extraordinary, with each musician skillfully playing their horn",gpt-simple
horn, the blaring sound of the car horn startled the pedestrians crossing the street,gpt-simple
horn," the wizard waved his wand, and a unicorn appeared, its single horn glistening in the sunlight",gpt-simple
horn," the viking ship sailed through the rough seas, its dragon-shaped figurehead proudly displaying a fearsome horn",gpt-simple
damask, the tablecloth was made of exquisite damask fabric,gpt-simple
damask, the damask roses in the garden were in full bloom,gpt-simple
damask, she chose a damask wallpaper for the living room,gpt-simple
damask, the damask pattern on the curtains added elegance to the room,gpt-simple
damask, the damask silk drapes cascaded gracefully from the ceiling,gpt-simple
girl," the little girl skipped happily down the street, holding her mother's hand",gpt-simple
girl, sarah is a talented and ambitious girl who dreams of becoming a successful lawyer,gpt-simple
girl," the girl sitting next to me in the library was engrossed in her book, completely oblivious to her surroundings",gpt-simple
girl," my best friend and i have been inseparable since we were little girls, and our bond has only grown stronger over the years",gpt-simple
girl, the teenage girl blushed when her crush complimented her on her singing voice,gpt-simple
curl, she watched as her hair began to curl in the humid air,gpt-simple
curl, the cat curled up in a tight ball to take a nap,gpt-simple
curl," the waves crashed against the shore, curling and foaming",gpt-simple
curl, he used a curling iron to create bouncy curls in his hair,gpt-simple
