word1,word2,sim,dataset
take,remove,6.81,simverb
walk,trail,4.81,simverb
shine,polish,7.8,simverb
attack,sneak,1.66,simverb
miss,catch,0.0,simverb
feel,touch,7.8,simverb
connect,separate,1.49,simverb
remove,detach,7.47,simverb
describe,define,7.97,simverb
drive,walk,1.49,simverb
cover,protect,6.81,simverb
know,inform,1.99,simverb
shake,shiver,6.31,simverb
take,carry,5.64,simverb
drive,operate,4.98,simverb
bend,break,4.65,simverb
tear,break,6.14,simverb
give,bring,4.98,simverb
kill,shoot,5.31,simverb
believe,know,3.65,simverb
hurt,smash,4.65,simverb
break,destroy,8.3,simverb
accuse,tell,2.49,simverb
respect,like,5.48,simverb
sell,purchase,2.16,simverb
charge,cover,1.66,simverb
pull,lift,2.82,simverb
destroy,kill,7.8,simverb
succeed,overcome,6.97,simverb
look,examine,8.3,simverb
delay,pause,8.13,simverb
dump,waste,5.98,simverb
know,meet,2.82,simverb
sell,borrow,0.66,simverb
veer,look,1.16,simverb
persuade,discourage,1.66,simverb
talk,describe,5.15,simverb
take,acquire,6.31,simverb
wipe,wash,4.81,simverb
pray,hope,6.97,simverb
determine,understand,6.31,simverb
search,seek,9.63,simverb
pull,detach,4.32,simverb
lean,fall,2.16,simverb
control,hold,5.15,simverb
alter,change,9.63,simverb
seem,appear,7.64,simverb
separate,combine,0.5,simverb
have,hold,4.81,simverb
kill,live,0.33,simverb
finish,start,0.5,simverb
pull,strain,3.65,simverb
brush,paint,6.97,simverb
create,imagine,4.81,simverb
desire,need,5.13,simverb
talk,criticize,2.66,simverb
determine,discover,5.64,simverb
hold,reserve,6.31,simverb
accept,allow,6.94,simverb
bring,carry,4.98,simverb
start,begin,8.8,simverb
prepare,cook,6.14,simverb
hunt,kill,6.81,simverb
look,appear,4.98,simverb
dance,sway,3.82,simverb
salute,acknowledge,4.65,simverb
become,make,4.15,simverb
scare,surprise,5.31,simverb
suppose,guess,7.14,simverb
split,leave,2.99,simverb
receive,send,2.32,simverb
begin,introduce,4.32,simverb
associate,connect,6.97,simverb
reject,accept,0.83,simverb
hurry,rush,9.79,simverb
enjoy,relax,5.81,simverb
introduce,show,6.14,simverb
remark,talk,5.81,simverb
flow,pour,5.31,simverb
play,swing,3.15,simverb
demand,need,2.82,simverb
drip,sink,1.99,simverb
abuse,neglect,6.64,simverb
take,choose,3.82,simverb
tell,talk,8.3,simverb
keep,hold,6.14,simverb
delay,wait,5.48,simverb
grill,burn,2.99,simverb
grab,hold,7.97,simverb
smoke,cough,2.66,simverb
think,pause,4.48,simverb
fight,kill,4.15,simverb
rise,lift,7.47,simverb
strike,blow,7.3,simverb
meet,attend,3.82,simverb
fall,rise,0.33,simverb
talk,debate,5.81,simverb
describe,write,3.65,simverb
hear,tell,0.83,simverb
stab,shoot,1.83,simverb
grasp,understand,8.47,simverb
destroy,repair,0.83,simverb
combine,join,7.47,simverb
join,gather,5.15,simverb
bend,turn,3.32,simverb
define,mean,5.15,simverb
drag,pull,7.3,simverb
spell,speak,2.16,simverb
hide,bury,5.31,simverb
hide,find,1.66,simverb
relax,stretch,3.65,simverb
waste,throw,2.66,simverb
come,bring,1.83,simverb
wait,stay,6.47,simverb
look,inspect,8.96,simverb
portray,play,5.81,simverb
organize,prepare,7.3,simverb
disperse,spread,9.3,simverb
walk,talk,1.33,simverb
protect,help,5.15,simverb
stay,come,1.0,simverb
lean,sway,6.14,simverb
want,hope,5.15,simverb
slide,show,0.66,simverb
choke,swallow,0.5,simverb
keep,snatch,1.83,simverb
sprinkle,pour,2.66,simverb
develop,create,8.3,simverb
supply,give,6.97,simverb
look,observe,9.3,simverb
seize,control,4.48,simverb
leave,escape,5.64,simverb
regret,worry,5.31,simverb
make,develop,6.14,simverb
receive,give,0.66,simverb
print,press,5.31,simverb
express,tell,5.98,simverb
break,connect,0.33,simverb
glance,stare,2.49,simverb
grab,release,0.33,simverb
sweat,shiver,1.16,simverb
perceive,understand,8.3,simverb
solve,find,6.14,simverb
show,dance,2.82,simverb
stretch,pull,6.47,simverb
think,determine,3.82,simverb
talk,pray,2.49,simverb
stop,hamper,4.98,simverb
believe,accept,5.64,simverb
attack,kill,4.23,simverb
save,reserve,6.97,simverb
inspect,find,5.31,simverb
tell,suggest,3.65,simverb
console,help,4.81,simverb
deliver,take,2.49,simverb
watch,examine,7.24,simverb
reject,dislike,6.97,simverb
assault,attack,8.63,simverb
tumble,fall,8.3,simverb
abuse,hurt,6.97,simverb
help,criticize,0.66,simverb
snap,break,7.7,simverb
appear,vanish,1.83,simverb
smell,offend,0.66,simverb
help,lend,5.98,simverb
look,glance,8.8,simverb
reject,hurt,4.32,simverb
show,express,6.64,simverb
choke,cough,3.32,simverb
greet,salute,6.64,simverb
perform,dance,6.31,simverb
divide,unite,0.17,simverb
call,collect,1.81,simverb
cover,bury,6.97,simverb
hurt,offend,6.81,simverb
change,spare,1.83,simverb
haul,pull,8.13,simverb
draw,attract,3.32,simverb
protect,watch,4.98,simverb
taste,acquire,2.82,simverb
read,write,1.81,simverb
shake,dance,5.15,simverb
polish,tarnish,2.32,simverb
grind,smash,4.65,simverb
need,depend,5.81,simverb
tear,wear,1.49,simverb
plead,please,1.66,simverb
neglect,leave,5.98,simverb
show,perform,6.14,simverb
become,arrive,1.33,simverb
talk,argue,3.82,simverb
please,request,1.83,simverb
save,help,8.3,simverb
delay,stop,4.15,simverb
give,return,3.32,simverb
slide,fall,3.82,simverb
portray,show,8.63,simverb
attend,appear,4.15,simverb
practice,repeat,7.47,simverb
find,determine,5.48,simverb
organize,gather,4.81,simverb
change,affect,6.97,simverb
haul,take,4.32,simverb
suppose,imagine,6.31,simverb
follow,come,4.15,simverb
spend,save,1.0,simverb
fling,shoot,4.81,simverb
meet,introduce,2.82,simverb
update,review,4.32,simverb
destroy,smash,6.79,simverb
lean,stand,3.98,simverb
return,take,1.49,simverb
fight,disagree,5.98,simverb
debate,decide,4.65,simverb
follow,chase,7.14,simverb
unite,combine,8.3,simverb
destroy,explode,4.15,simverb
tell,convince,4.48,simverb
help,hurt,0.0,simverb
follow,lead,0.17,simverb
overcome,dominate,4.81,simverb
assume,suppose,9.13,simverb
deliver,give,6.97,simverb
prove,show,6.31,simverb
detach,attach,0.33,simverb
detach,separate,8.13,simverb
need,urge,4.65,simverb
hurt,fall,2.32,simverb
remain,stay,9.13,simverb
scratch,hurt,4.32,simverb
begin,stop,0.33,simverb
think,feel,3.32,simverb
smell,sweat,4.32,simverb
smash,break,9.46,simverb
wash,soak,5.15,simverb
speak,tell,6.81,simverb
decline,reject,9.13,simverb
explain,describe,8.13,simverb
frighten,scare,8.96,simverb
play,perform,5.98,simverb
leave,take,1.16,simverb
conquer,dominate,6.64,simverb
receive,acquire,7.14,simverb
catch,chase,3.49,simverb
assault,hurt,6.81,simverb
attack,fight,6.97,simverb
receive,deliver,1.49,simverb
capture,take,7.47,simverb
fasten,hold,4.32,simverb
come,leave,1.0,simverb
aggravate,frustrate,7.47,simverb
